i,Ii,Ji,ni
1,,,0.10658070028513e1
2,0,0,-0.15732845290239e2
3,0,1,0.20944396974307e2
4,0,2,-0.76867707878716e1
5,0,7,0.26185947787954e1
6,0,10,-0.28080781148620e1
7,0,12,0.12053369696517e1
8,0,23,-0.84566812812502e-2
9,1,2,-0.12654315477714e1
10,1,6,-0.11524407806681e1
11,1,15,0.88521043984318
12,1,17,-0.64207765181607
13,2,0,0.38493460186671
14,2,2,-0.85214708824206
15,2,6,0.48972281541877e1
16,2,7,-0.30502617256965e1
17,2,22,0.39420536879154e-1
18,2,26,0.12558408424308
19,3,0,-0.27999329698710
20,3,2,0.13899799569460e1
21,3,4,-0.20189915023570e1
22,3,16,-0.82147637173963e-2
23,3,26,-0.47596035734923
24,4,0,0.43984074473500e-1
25,4,2,-0.44476435428739
26,4,4,0.90572070719733
27,4,26,0.70522450087967
28,5,1,0.10770512626332
29,5,3,-0.32913623258954
30,5,26,-0.50871062041158
31,6,0,-0.22175400873096e-1
32,6,2,0.94260751665092e-1
33,6,26,0.16436278447961
34,7,2,-0.13503372241348e-1
35,8,26,-0.14834345352472e-1
36,9,2,0.57922953628084e-3
37,9,26,0.32308904703711e-2
38,10,0,0.80964802996215e-4
39,10,1,-0.16557679795037e-3
40,11,26,-0.44923899061815e-4
