i,Ii,Ji,ni
1,0,0,0.770889828326934e1
2,0,1,-0.260835009128688e2
3,0,5,0.267416218930389e3
4,1,0,0.172221089496844e2
5,1,3,-0.293542332145970e3
6,1,4,0.614135601882478e3
7,1,8,-0.610562757725674e5
8,1,14,-0.651272251118219e8
9,2,6,0.735919313521937e5
10,2,16,-0.116646505914191e11
11,3,0,0.355267086434461e2
12,3,2,-0.596144543825955e3
13,3,3,-0.475842430145708e3
14,4,0,0.696781965359503e2
15,4,1,0.335674250377312e3
16,4,4,0.250526809130882e5
17,4,5,0.146997380630766e6
18,5,28,0.538069315091534e20
19,6,28,0.143619827291346e22
20,7,24,0.364985866165994e20
21,8,1,-0.254741561156775e4
22,10,32,0.240120197096563e28
23,10,36,-0.393847464679496e30
24,14,22,0.147073407024852e25
25,18,28,-0.426391250432059e32
26,20,36,0.194509340621077e39
27,22,16,0.666212132114896e24
28,22,28,0.706777016552858e34
29,24,36,0.175563621975576e42
30,28,16,0.108408607429124e29
31,28,36,0.730872705175151e44
32,32,10,0.159145847398870e25
33,32,28,0.377121605943324e41
