i,Ii,Ji,ni
1,-12,2,0.125244360717979e-12
2,-12,10,-0.126599322553713e-1
3,-12,12,0.506878030140626e1
4,-12,14,0.317847171154202e2
5,-12,20,-0.391041161399932e6
6,-10,2,-0.975733406392044e-10
7,-10,10,-0.186312419488279e2
8,-10,14,0.510973543414101e3
9,-10,18,0.373847005822362e6
10,-8,2,0.299804024666572e-7
11,-8,8,0.200544393820342e2
12,-6,2,-0.498030487662829e-5
13,-6,6,-0.102301806360030e2
14,-6,7,0.552819126990325e2
15,-6,8,-0.206211367510878e3
16,-5,10,-0.794012232324823e4
17,-4,4,0.782248472028153e1
18,-4,5,-0.586544326902468e2
19,-4,8,0.355073647696481e4
20,-3,1,-0.115303107290162e-3
21,-3,3,-0.175092403171802e1
22,-3,5,0.257981687748160e3
23,-3,6,-0.727048374179467e3
24,-2,0,0.121644822609198e-3
25,-2,1,0.393137871762692e-1
26,-1,0,0.704181005909296e-2
27,0,3,-0.829108200698110e2
28,2,0,-0.265250178818131
29,2,1,0.137531682453991e2
30,4,1,-0.522394090753046e2
31,6,1,0.240556298941048e4
32,8,1,-0.227361631268929e5
33,10,1,0.890746343932567e5
34,14,3,-0.239234565822486e8
35,14,7,0.568795808129714e10
