i,Ii,Ji,ni
1,-12,0,0.591599780322238e-4
2,-12,1,-0.185465997137856e-2
3,-12,2,0.104190510480013e-1
4,-12,3,0.598647302038590e-2
5,-12,5,-0.771391189901699
6,-12,6,0.172549765557036e1
7,-10,0,-0.467076079846526e-3
8,-10,1,0.134533823384439e-1
9,-10,2,-0.808094336805495e-1
10,-10,4,0.508139374365767
11,-8,0,0.128584643361683e-2
12,-5,1,-0.163899353915435e1
13,-5,2,0.586938199318063e1
14,-5,3,-0.292466667918613e1
15,-4,0,-0.614076301499537e-2
16,-4,1,0.576199014049172e1
17,-4,2,-0.121613320606788e2
18,-4,3,0.167637540957944e1
19,-3,1,-0.744135838773463e1
20,-2,0,0.378168091437659e-1
21,-2,1,0.401432203027688e1
22,-2,2,0.160279837479185e2
23,-2,3,0.317848779347728e1
24,-2,4,-0.358362310304853e1
25,-2,12,-0.115995260446827e7
26,0,0,0.199256573577909
27,0,1,-0.122270624794624
28,0,2,-0.191449143716586e2
29,1,0,-0.150448002905284e-1
30,1,2,0.146407900162154e2
31,2,2,-0.327477787188230e1
